"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","OP_CARRIER","OP_CARRIER_AIRLINE_ID","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DEL15","ARR_TIME","ARR_DELAY","CANCELLED","CANCELLATION_CODE","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY"
2025,7,29,2,"G4","G4",20368,"189NV",438,"PDX","Portland, OR","OR","DSM","Des Moines, IA","IA",1654,1710,16,1,2259,50,0,"",229,207,1471,16,0
2025,7,13,7,"AA","AA",19805,"N744P",2554,"PHL","Philadelphia, PA","PA","STL","St. Louis, MO","MO",1543,1539,-4,0,1719,12,0,"",160,132,814,NA,NA
2025,7,7,1,"B6","B6",20409,"N535JB",1685,"JFK","New York, NY","NY","TPA","Tampa, FL","FL",1415,1411,-4,0,1717,-8,0,"",186,136,1005,NA,NA
2025,7,20,7,"AA","AA",19805,"N195UW",2087,"FLL","Fort Lauderdale, FL","FL","CLT","Charlotte, NC","NC",750,743,-7,0,934,-26,0,"",111,91,632,NA,NA
2025,7,6,7,"OO","OO",20304,"N508SY",6307,"MFR","Medford, OR","OR","PHX","Phoenix, AZ","AZ",1334,1333,-1,0,1558,-1,0,"",145,123,855,NA,NA
2025,7,16,3,"OH","OH",20397,"N538EG",5567,"MCI","Kansas City, MO","MO","DFW","Dallas/Fort Worth, TX","TX",1446,1437,-9,0,1617,-17,0,"",100,73,460,NA,NA
2025,7,18,5,"B6","B6",20409,"N317JB",1324,"BOS","Boston, MA","MA","MVY","Martha's Vineyard, MA","MA",845,838,-7,0,918,-13,0,"",40,17,70,NA,NA
2025,7,23,3,"WN","WN",19393,"N435WN",1924,"JAN","Jackson/Vicksburg, MS","MS","HOU","Houston, TX","TX",600,559,-1,0,711,-9,0,"",72,56,359,NA,NA
2025,7,27,7,"AA","AA",19805,"N851NN",3026,"AUS","Austin, TX","TX","JFK","New York, NY","NY",1504,1632,88,1,2152,112,0,"",260,214,1521,0,0
2025,7,16,3,"WN","WN",19393,"N8919K",385,"ATL","Atlanta, GA","GA","HOU","Houston, TX","TX",1145,1144,-1,0,1245,-5,0,"",121,104,696,NA,NA
2025,7,14,1,"WN","WN",19393,"N904WN",4623,"STL","St. Louis, MO","MO","LGA","New York, NY","NY",710,704,-6,0,1020,-10,0,"",136,121,888,NA,NA
2025,7,7,1,"WN","WN",19393,"N214WN",678,"DAL","Dallas, TX","TX","MSY","New Orleans, LA","LA",955,1109,74,1,1241,81,0,"",92,65,437,20,0
2025,7,1,2,"AS","AS",19930,"N964AK",510,"SLC","Salt Lake City, UT","UT","SEA","Seattle, WA","WA",1912,1911,-1,0,2015,-15,0,"",124,92,689,NA,NA
2025,7,25,5,"OO","OO",20304,"N753SK",6340,"PHX","Phoenix, AZ","AZ","CID","Cedar Rapids/Iowa City, IA","IA",838,834,-4,0,1351,-8,0,"",197,149,1252,NA,NA
2025,7,15,2,"WN","WN",19393,"N7725A",263,"BUR","Burbank, CA","CA","LAS","Las Vegas, NV","NV",810,810,0,0,914,-6,0,"",64,45,223,NA,NA
2025,7,6,7,"DL","DL",19790,"N844DN",1702,"SAV","Savannah, GA","GA","ATL","Atlanta, GA","GA",640,723,43,1,823,34,0,"",60,38,215,34,0
2025,7,27,7,"MQ","MQ",20398,"N785BR",3531,"DFW","Dallas/Fort Worth, TX","TX","ORD","Chicago, IL","IL",2019,2124,65,1,2353,61,0,"",149,109,802,0,0
2025,7,16,3,"UA","UA",19977,"N472UA",1324,"DFW","Dallas/Fort Worth, TX","TX","ORD","Chicago, IL","IL",1410,1717,187,1,1942,175,0,"",145,111,802,0,0
2025,7,23,3,"AA","AA",19805,"N543UW",1672,"SEA","Seattle, WA","WA","ORD","Chicago, IL","IL",1046,1040,-6,0,1638,-21,0,"",238,209,1721,NA,NA
2025,7,4,5,"F9","F9",20436,"N349FR",2507,"PHL","Philadelphia, PA","PA","MCO","Orlando, FL","FL",1839,1840,1,0,2129,0,0,"",169,132,862,NA,NA
2025,7,14,1,"WN","WN",19393,"N8953Q",3119,"MSY","New Orleans, LA","LA","LAX","Los Angeles, CA","CA",850,850,0,0,1034,-21,0,"",224,207,1671,NA,NA
2025,7,25,5,"NK","NK",20416,"N635NK",1093,"CMH","Columbus, OH","OH","LGA","New York, NY","NY",1852,2252,240,1,31,242,0,"",99,72,479,0,0
2025,7,3,4,"UA","UA",19977,"N19130",2033,"SFO","San Francisco, CA","CA","EWR","Newark, NJ","NJ",600,552,-8,0,1407,-34,0,"",315,283,2565,NA,NA
2025,7,28,1,"DL","DL",19790,"N998AT",2573,"DTW","Detroit, MI","MI","EWR","Newark, NJ","NJ",1412,1909,297,1,2054,299,0,"",105,72,488,40,238
2025,7,26,6,"UA","UA",19977,"N433UA",1269,"ORD","Chicago, IL","IL","DCA","Washington, DC","VA",1800,1810,10,0,2113,11,0,"",123,92,612,NA,NA
2025,7,9,3,"WN","WN",19393,"N250WN",1198,"IND","Indianapolis, IN","IN","BNA","Nashville, TN","TN",1435,1446,11,0,1449,9,0,"",63,41,249,NA,NA
2025,7,7,1,"DL","DL",19790,"N111DC",2325,"ATL","Atlanta, GA","GA","EWR","Newark, NJ","NJ",725,720,-5,0,923,-6,0,"",123,107,746,NA,NA
2025,7,12,6,"AA","AA",19805,"N905NN",3065,"PHL","Philadelphia, PA","PA","SJU","San Juan, PR","PR",1850,1855,5,0,2312,22,0,"",257,195,1576,5,0
2025,7,26,6,"UA","UA",19977,"N14228",1754,"MFR","Medford, OR","OR","SFO","San Francisco, CA","CA",1412,1410,-2,0,1529,-6,0,"",79,59,329,NA,NA
2025,7,31,4,"UA","UA",19977,"N66825",2657,"ORD","Chicago, IL","IL","IAH","Houston, TX","TX",1245,1240,-5,0,1523,-17,0,"",163,139,925,NA,NA
2025,7,22,2,"DL","DL",19790,"N953AT",3179,"GSO","Greensboro/High Point, NC","NC","ATL","Atlanta, GA","GA",818,803,-15,0,915,-27,0,"",72,46,306,NA,NA
2025,7,29,2,"AA","AA",19805,"N955XV",1151,"ORD","Chicago, IL","IL","PHX","Phoenix, AZ","AZ",2051,2120,29,1,2252,0,0,"",212,185,1440,NA,NA
2025,7,10,4,"MQ","MQ",20398,"N292NN",3777,"ABQ","Albuquerque, NM","NM","DFW","Dallas/Fort Worth, TX","TX",1357,1347,-10,0,1627,-23,0,"",100,78,569,NA,NA
2025,7,5,6,"UA","UA",19977,"N807UA",498,"SAV","Savannah, GA","GA","DEN","Denver, CO","CO",1616,1631,15,1,1835,30,0,"",244,224,1414,0,15
2025,7,10,4,"AA","AA",19805,"N836NN",979,"DFW","Dallas/Fort Worth, TX","TX","RDU","Raleigh/Durham, NC","NC",1830,1826,-4,0,2205,-12,0,"",159,135,1061,NA,NA
2025,7,23,3,"WN","WN",19393,"N8311Q",1088,"LAS","Las Vegas, NV","NV","SBA","Santa Barbara, CA","CA",1025,1152,87,1,1316,91,0,"",84,71,289,0,0
2025,7,15,2,"HA","HA",19690,"N480HA",165,"OGG","Kahului, HI","HI","HNL","Honolulu, HI","HI",917,915,-2,0,957,-2,0,"",42,24,101,NA,NA
2025,7,27,7,"WN","WN",19393,"N245WN",693,"TPA","Tampa, FL","FL","ISP","Islip, NY","NY",1435,1429,-6,0,1708,-12,0,"",159,145,1034,NA,NA
2025,7,16,3,"YX","YX",20452,"N418YX",4529,"PIT","Pittsburgh, PA","PA","DCA","Washington, DC","VA",546,538,-8,0,636,-23,0,"",58,36,204,NA,NA
2025,7,11,5,"OO","OO",20304,"N742SK",5009,"MKE","Milwaukee, WI","WI","ORD","Chicago, IL","IL",1337,1426,49,1,1530,48,0,"",64,28,67,48,0
2025,7,24,4,"G4","G4",20368,"308NV",1882,"AVL","Asheville, NC","NC","PGD","Punta Gorda, FL","FL",1308,1308,0,0,1507,12,0,"",119,93,588,NA,NA
2025,7,3,4,"WN","WN",19393,"N8583Z",3254,"OAK","Oakland, CA","CA","DEN","Denver, CO","CO",1400,1400,0,0,1722,-8,0,"",142,124,957,NA,NA
2025,7,29,2,"YX","YX",20452,"N439YX",4700,"CMH","Columbus, OH","OH","DCA","Washington, DC","VA",1225,1222,-3,0,1340,-9,0,"",78,55,323,NA,NA
2025,7,15,2,"OO","OO",20304,"N273SY",3663,"SLC","Salt Lake City, UT","UT","MFR","Medford, OR","OR",1103,1109,6,0,1156,-4,0,"",107,86,575,NA,NA
2025,7,15,2,"AS","AS",19930,"N282AK",1107,"BUR","Burbank, CA","CA","PDX","Portland, OR","OR",1804,1803,-1,0,2012,-9,0,"",129,111,817,NA,NA
2025,7,2,3,"OO","OO",20304,"N521SY",4989,"SEA","Seattle, WA","WA","PHX","Phoenix, AZ","AZ",630,637,7,0,940,8,0,"",183,159,1107,NA,NA
2025,7,3,4,"AA","AA",19805,"N964NN",2098,"SFO","San Francisco, CA","CA","LAX","Los Angeles, CA","CA",615,607,-8,0,741,-1,0,"",94,57,337,NA,NA
2025,7,3,4,"AA","AA",19805,"N582UW",854,"SEA","Seattle, WA","WA","CLT","Charlotte, NC","NC",712,707,-5,0,1503,-12,0,"",296,266,2279,NA,NA
2025,7,4,5,"UA","UA",19977,"N47533",1983,"LAX","Los Angeles, CA","CA","TPA","Tampa, FL","FL",2140,2130,-10,0,455,-44,0,"",265,244,2158,NA,NA
2025,7,1,2,"UA","UA",19977,"N27965",2397,"LAX","Los Angeles, CA","CA","EWR","Newark, NJ","NJ",2055,2051,-4,0,448,-21,0,"",297,268,2454,NA,NA
2025,7,12,6,"G4","G4",20368,"334NV",2809,"CAK","Akron, OH","OH","MYR","Myrtle Beach, SC","SC",1451,1508,17,1,1737,73,0,"",149,74,518,0,0
2025,7,9,3,"OO","OO",20304,"N633SK",4950,"FNT","Flint, MI","MI","ORD","Chicago, IL","IL",1849,1913,24,1,1954,44,0,"",101,52,223,0,24
